country_name_short	country_name	party_name_short	party_name_english	party_name	party_name_ascii	family_name_short	family_name	left_right	state_market	liberty_authority	eu_anti_pro	cmp	euprofiler	ees	castles_mair	huber_inglehart	ray	benoit_laver	chess	country_id	party_id	family_id
"ESP"	"Spain"	"EM"	"In Tide"	"En Marea"	"En Marea"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									27	2604	14.0
"ESP"	"Spain"	"EP-V"	"Europe of the People -- The Greens"	"Europa de los Pueblos – Verdes"	"Europa de los Pueblos -- Verdes"	"eco"	"Green/Ecologist"	2.5	2.5	1.8	6.5								522.0	27	1657	19.0
"ESP"	"Spain"	"ERC"	"Republican Left of Catalonia"	"Esquerra Republicana de Catalunya"	"Esquerra Republicana de Catalunya"	"spec"	"Special issue"	3.1072	2.9073	2.7325	7.0389	33905.0	270.0	1724905.0	1406.0		511.0		511.0	27	757	16.0
"ESP"	"Spain"	"EU"	"United Extremadura"	"Extremadura Unida"	"Extremadura Unida"	"spec"	"Special issue"													27	1976	16.0
"ESP"	"Spain"	"EdP"	"Europe of the People"	"Europa de los Pueblos"	"Europa de los Pueblos"	"spec"	"Special issue"													27	1672	16.0
"ESP"	"Spain"	"EeM"	"It is time"	"Compromís-Podemos-És el Moment"	"Compromis-Podemos-Es el Moment"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									27	2607	14.0
"ESP"	"Spain"	"HB"	"United People"	"Herri Batasuna"	"Herri Batasuna"	"spec"	"Special issue"	0.5909	1.8	4.3889	3.25				1401.0	3601.0	508.0		508.0	27	1317	16.0
"ESP"	"Spain"	"II-SP"	"Internationalist Initiative -- Solidarity between Peoples"	"Iniciativa Internacionalista – La Solidaridad entre los Pueblos"	"Iniciativa Internacionalista -- La Solidaridad entre los Pueblos"	"spec"	"Special issue"													27	681	16.0
"ESP"	"Spain"	"IP"	"Left of the Peoples"	"Izquierda de los Pueblos"	"Izquierda de los Pueblos"	"spec"	"Special issue"													27	121	16.0
"ESP"	"Spain"	"IU|PCE"	"United Left | Communist Party"	"Izquierda Unida | Partido Communista"	"Izquierda Unida | Partido Communista"	"com"	"Communist/Socialist"	2.0183	1.8937	1.7351	5.2186	33220.0	273.0	1724220.0	1404.0	3602.0	504.0	7760.0	504.0	27	118	14.0
"ESP"	"Spain"	"LVE"	"Greens Ecologists"	"Los Verdes Ecologistas"	"Los Verdes Ecologistas"	"eco"	"Green/Ecologist"	2.5	2.5	1.8	6.5									27	2301	19.0
"ESP"	"Spain"	"P"	"We Can"	"Podemos"	"Podemos"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									27	2376	14.0
"ESP"	"Spain"	"PA"	"Andalusian Party"	"Partidu Andalucista"	"Partidu Andalucista"	"soc"	"Social democracy"	4.85	4.86	4.43	8.725	33906.0			1407.0		517.0		516.0	27	370	11.0
"ESP"	"Spain"	"PACMA"	"Animalist Party Against Mistreatment to Animals"	"Partido Animalista Contra el Maltrato Animal"	"Partido Animalista Contra el Maltrato Animal"	"spec"	"Special issue"													27	2381	16.0
"ESP"	"Spain"	"PAR"	"Aragonese Regionalist Party"	"Partido Aragonés Regionalista"	"Partido Aragones Regionalista"	"spec"	"Special issue"	7.1909	6.2727	5.9583	8.75	33904.0			1411.0		510.0		510.0	27	1221	16.0
"ESP"	"Spain"	"PNV"	"Basque Nationalist Party"	"Partido Nacionalista Vasco – Euzko Alderdi Jeltzalea"	"Partido Nacionalista Vasco -- Euzko Alderdi Jeltzalea"	"chr"	"Christian democracy"	6.2144	5.7468	6.5139	7.8556	33902.0	358.0	1724902.0	1409.0	3606.0	506.0	7780.0	506.0	27	1361	3.0
"ESP"	"Spain"	"PSC-PSOE"	"Socialists' Party of Catalonia"	"Partit dels Socialistes de Catalunya"	"Partit dels Socialistes de Catalunya"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1									27	1974	11.0
"ESP"	"Spain"	"PSOE"	"Spanish Socialist Workers Party"	"Partido Socialista Obrero Español"	"Partido Socialista Obrero Espanol"	"soc"	"Social democracy"	3.7377	4.0098	3.0399	9.129	33320.0	275.0	1724320.0	1405.0	3603.0	501.0	7820.0	501.0	27	902	11.0
"ESP"	"Spain"	"PSP"	"People's Socialist Party"	"Partido Socialista Popular"	"Partido Socialista Popular"	"com"	"Communist/Socialist"	4.2083	4.2273	3.7083	9.1667								519.0	27	1790	14.0
"ESP"	"Spain"	"PTE"	"Party of Labour of Spain"	"Partido del Trabajo de España"	"Partido del Trabajo de Espana"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									27	2227	14.0
"ESP"	"Spain"	"PTE-UC"	"Workers' Party of Spain -- Communist Unity"	"Partido de los Trabajadores de España-Unidad Comunista"	"Partido de los Trabajadores de Espana -- Unidad Comunista"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									27	2028	14.0
"ESP"	"Spain"	"UCD"	"Union of the Democratic Centre"	"Unión de Centro Democrático"	"Union de Centro Democratico"	"lib"	"Liberal"	7.1	6.7	3.5	8.8	33430.0			1410.0					27	135	6.0
"ESP"	"Spain"	"UCDCC"	"Union of Centre and Christian Democracy of Catalonia"	"Unió del Centre i la Democràcia Cristiana de Catalunya"	"Unio del Centre i la Democracia Cristiana de Catalunya"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									27	62	3.0
"ESP"	"Spain"	"UN"	"National Union"	"Unión Nacional"	"Union National"	"right"	"Right-wing"	9.8	5.9	8.6	2.4				1413.0					27	1407	40.0
"ESP"	"Spain"	"UPyD"	"Union, Progress and Democracy"	"Unión Progreso y Democracia"	"Union Progreso y Democracia"	"lib"	"Liberal"	6.0	6.7	3.5	8.8		276.0	1724010.0					523.0	27	551	6.0
"ESP"	"Spain"	"UV"	"Valencian Union"	"Union Valenciana"	"Union Valenciana"	"spec"	"Special issue"	6.0417	5.7273	5.875	8.8769						512.0		512.0	27	443	16.0
"ESP"	"Spain"	"Vox"	"Voice"	"Vox"	"Vox"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									27	2380	6.0
"ESP"	"Spain"	"etc"	"others"	"others"	"others"	"none"	"no family"													27	1377	12.0
"ESP"	"Spain"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"													27	2056	12.0
"ESP"	"Spain"	"one-seat"	"one seat"	"one seat"	"one seat"	"none"	"no family"													27	2294	12.0
"EST"	"Estonia"	"EEE"	"Estonian Entrepreneur Party"	"Eesti Ettevõtjate Erakond"	"Eesti Ettevotjate Erakond"	"lib"	"Liberal"	8.3333	6.7	3.5	8.8					1211.0				75	1516	6.0
"EST"	"Estonia"	"EER"	"Estonian Greens"	"Erakonna Eestimaa Rohelised"	"Erakonna Eestimaa Rohelised"	"eco"	"Green/Ecologist"	5.5556	2.5	1.8	6.5		79.0	1233100.0		1206.0			2207.0	75	219	19.0
"EST"	"Estonia"	"EK"	"Estonian Centre Party"	"Eesti Keskerakond"	"Eesti Keskerakond"	"soc"	"Social democracy"	3.9562	3.6421	4.9947	5.0118	83411.0	75.0	1233411.0		1204.0		1716.0	2202.0	75	1137	11.0
"EST"	"Estonia"	"EKD"	"Estonian Christian Democrats"	"Eesti Kristlikud Demokraadid"	"Eesti Kristlikud Demokraadid"	"chr"	"Christian democracy"	7.5789	4.7368	9.7895	1.0526		76.0					1612.0		75	609	3.0
"EST"	"Estonia"	"EKK"	"Estonian Coalition Party"	"Eesti Koonderakond"	"Eesti Koonderakond"	"lib"	"Liberal"	7.2222	6.7	3.5	8.8	83713.0				1209.0				75	486	6.0
"EST"	"Estonia"	"EKo"	"Estonian Citizens"	"Eesti Kodanik"	"Eesti Kodanik"	"right"	"Right-wing"	8.7	5.9	8.6	2.4	83712.0								75	1064	40.0
"EST"	"Estonia"	"EPL"	"Estonian Pensioners' Union"	"Eesti Pensionaride Liit"	"Eesti Pensionaride Liit"	"spec"	"Special issue"													75	1792	16.0
"EST"	"Estonia"	"ERP"	"Res Publica Party"	"Erakond Res Publica"	"Erakond Res Publica"	"con"	"Conservative"	8.4962	8.2456	6.1053	9.2632	83611.0						1820.0		75	428	26.0
"EST"	"Estonia"	"ERSP"	"Estonian National Independence Party"	"Eesti Rahvusliku Sõltumatuse Partei"	"Eesti Rahvusliku Soltumatuse Partei"	"con"	"Conservative"	7.7778	6.4	6.9	7.8	83711.0				1210.0				75	552	26.0
"EST"	"Estonia"	"ERa"	"People's Union of Estonia"	"Eestimaa Rahvalliit"	"Eestimaa Rahvalliit"	"con"	"Conservative"	4.5812	4.8509	6.9474	6.0627	83612.0	78.0	1233612.0				1768.0	2206.0	75	417	26.0
"EST"	"Estonia"	"ERe"	"Estonian Reform Party"	"Eesti Reformierakond"	"Eesti Reformierakond"	"lib"	"Liberal"	7.8969	8.6246	5.2737	8.5715	83430.0	82.0	1233430.0		1208.0		1794.0	2203.0	75	113	6.0
"EST"	"Estonia"	"ESE-D"	"Estonian Blue Party -- Democrats"	"Eesti Sinine Erakond – Demokraadid"	"Eesti Sinine Erakond -- Demokraadid"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									75	2267	6.0
"EST"	"Estonia"	"ETE"	"Estonian Farmers Party"	"Eesti Talurahva Erakond"	"Eesti Talurahva Erakond"	"agr"	"Agrarian"	5.3	4.9	6.5	5.4									75	1796	2.0
"EST"	"Estonia"	"EV"	"Free Party"	"Eesti Vabaerakond"	"Eesti Vabaerakond"	"con"	"Conservative"	7.4	6.4	6.9	7.8									75	2409	26.0
"EST"	"Estonia"	"EVP"	"Estonian Left Party"	"Eesti Vasakpartei"	"Eesti Vasakpartei"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									75	2416	14.0
"EST"	"Estonia"	"I"	"Pro Patria Union"	"Isamaaliit"	"Isamaaliit"	"con"	"Conservative"	7.6169	6.414	7.3789	8.5189	83710.0				1212.0		1690.0	2201.0	75	846	26.0
"EST"	"Estonia"	"I-DK"	"Independent -- Dimitri Klenski"	"Independent – Dimitri Klenski"	"Independent -- Dimitri Klenski"	"none"	"no family"													75	2031	12.0
"EST"	"Estonia"	"I-IT"	"Independent -- Indrek Tarand"	"Independent – Indrek Tarand"	"Independent -- Indrek Tarand"	"none"	"no family"													75	2029	12.0
"EST"	"Estonia"	"I-MH"	"Independent -- Martin Helme"	"Independent – Martin Helme"	"Independent -- Martin Helme"	"none"	"no family"													75	2030	12.0
"EST"	"Estonia"	"I-SM"	"Independent -- Silver Meikar"	"Independent – Silver Meikar"	"Independent -- Silver Meikar"	"none"	"no family"													75	2345	12.0
"EST"	"Estonia"	"I-TT"	"Independent -- Tanel Talve"	"Independent – Tanel Talve"	"Independent -- Tanel Talve"	"none"	"no family"													75	2344	12.0
"EST"	"Estonia"	"IRL"	"Union of Pro Patria and Res Publica"	"Erakond Isamaa ja Res Publica Liit"	"Erakond Isamaa ja Res Publica Liit"	"con"	"Conservative"	8.4962	8.2456	6.1053	9.2632	83611.0	80.0	1233613.0				1820.0		75	1597	26.0
"EST"	"Estonia"	"K-EUR"	"Constitution Party -- Estonian United People's Party"	"Konstitutsioonierakond – Eestimaa Ühendatud Rahvapartei"	"Konstitutsioonierakond -- Eestimaa Uehendatud Rahvapartei"	"soc"	"Social democracy"	2.0282	2.9413	6.3158	4.9241	83952.0				1201.0		1664.0	2205.0	75	1590	11.0
"EST"	"Estonia"	"PK"	"Union of Farmers"	"Põllumeeste Kogu"	"Pollumeeste Kogu"	"agr"	"Agrarian"	2.2222	4.9	6.5	5.4					1203.0				75	1553	2.0
"EST"	"Estonia"	"R"	"Popular Front"	"Rahvarinne"	"Rahvarinne"	"soc"	"Social democracy"	3.3333	3.5	3.5	8.1	83421.0				1204.0				75	450	11.0
"EST"	"Estonia"	"RKI"	"National Coalition Party \"\"Pro Patria\"\""	"Rahvuslik Koonderakond \"\"Isamaa\"\""	"Rahvuslik Koonderakond \"\"Isamaa\"\""	"con"	"Conservative"	7.4	6.4	6.9	7.8	83710.0								75	243	26.0
"EST"	"Estonia"	"SDE|M"	"Social Democratic Party | Moderates"	"Sotsiaaldemokraatlik Erakond | Mõõdukad"	"Sotsiaaldemokraatlik Erakond | Moodukad"	"soc"	"Social democracy"	4.1915	3.4667	3.1737	7.7982	83410.0	83.0	1233410.0		1205.0		1742.0	2204.0	75	1448	11.0
"EST"	"Estonia"	"SK"	"Independent Royalists"	"Sõltumatud Kuningriiklased"	"Soltumatud Kuningriiklased"	"spec"	"Special issue"					83901.0								75	25	16.0
"EST"	"Estonia"	"TEE"	"Future Estonia | Independence"	"Tuleviku Eesti | Iseseisvuspartei"	"Tuleviku Eesti | Iseseisvuspartei"	"right"	"Right-wing"	8.7	5.9	8.6	2.4									75	1794	40.0
"EST"	"Estonia"	"VEE"	"Russian Party in Estonia"	"Vene Erakond Eestis"	"Vene Erakond Eestis"	"con"	"Conservative"	7.4	6.4	6.9	7.8									75	2266	26.0
"EST"	"Estonia"	"VKR"	"People's Party of Republicans and Conservatives"	"Vabariiklaste ja Konservatiivide Rahvaerakond"	"Vabariiklaste ja Konservatiivide Rahvaerakond"	"con"	"Conservative"	7.4	6.4	6.9	7.8	83610.0								75	1395	26.0
"FIN"	"Finland"	"AS"	"Aland Coalition"	"Åländsk Samlingin ääntä – Åländsk Samling"	"Alandsk Samlingin aanta -- Alandsk Samling"	"spec"	"Special issue"													67	66	16.0
"FIN"	"Finland"	"DL|VAS"	"Democratic Union | Left Alliance"	"Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet "	"Demokraattinen Liitto -- Demokratiska Forbundet | Vasemmistoliitto -- Vansterforbundet "	"com"	"Communist/Socialist"	2.1843	1.8661	3.3406	5.165	14221.0	97.0	1246223.0	601.0	1301.0	1404.0	5777.0	1404.0	67	1292	14.0
"FIN"	"Finland"	"Deva"	"Democratic Alternative"	"Demokraattinen Vaihtoehto – Demokratiskt Alternativs"	"Demokraattinen Vaihtoehto -- Demokratiskt Alternativs"	"com"	"Communist/Socialist"	1.3	1.4	3.0	0.55	14222.0					1407.0			67	229	14.0
"FIN"	"Finland"	"Eko"	"Ecological Party"	"Ekologinen puolue – Ekologiska partiet"	"Ekologinen puolue -- Ekologiska partiet"	"eco"	"Green/Ecologist"	4.75	4.5	3.75	2.5								1413.0	67	1105	19.0
"FIN"	"Finland"	"KD"	"Christian Democrats"	"Kristillisdemokraatit – Kristdemokraterna"	"Kristillisdemokraatit -- Kristdemokraterna"	"chr"	"Christian democracy"	7.1884	4.9438	8.3076	3.2103	14520.0	92.0	1246520.0	607.0	1309.0	1409.0	5657.0	1409.0	67	1463	3.0
"FIN"	"Finland"	"KESK"	"Centre Party"	"Keskusta"	"Keskusta"	"agr"	"Agrarian"	5.8027	4.9349	7.2203	5.5267	14810.0	90.0	1246810.0	603.0	1306.0	1403.0	5677.0	1403.0	67	94	2.0
"FIN"	"Finland"	"KE|SLK"	"National Progressive Party | [Finnish] Liberal People's Party"	"Kansallinen Edistyspuolue | [Suomen] Liberaalinen Kansanpuolue"	"Kansallinen Edistyspuolue | [Suomen] Liberaalinen Kansanpuolue"	"lib"	"Liberal"	5.7167	6.7	3.5	9.05	14420.0			604.0	1304.0	1410.0			67	1219	6.0
"FIN"	"Finland"	"KOK"	"National Coalition Party"	"Kansallinen Kokoomus – Samlingspartiet"	"Kansallinen Kokoomus -- Samlingspartiet"	"con"	"Conservative"	7.2451	7.6408	5.5872	9.0846	14620.0	86.0	1246620.0	608.0	1308.0	1402.0	5697.0	1402.0	67	1118	26.0
"FIN"	"Finland"	"NSP"	"Young Finns"	"Nuorsuomalaiset – Ungfinnarna"	"Nuorsuomalaiset -- Ungfinnarna"	"lib"	"Liberal"	6.0	6.7	3.5	8.8	14430.0					1412.0			67	1009	6.0
"FIN"	"Finland"	"PMP"	"Party of Smallholders and Rural People"	"Pienviljelijäin ja maalaiskansan puolue"	"Pienviljelijain ja maalaiskansan puolue"	"agr"	"Agrarian"	5.3	4.9	6.5	5.4									67	2293	2.0
"FIN"	"Finland"	"POP"	"Constitutional People's Party"	"Perustuslaillinen Oikeistopuolue – Konstitutionella högerpartiet"	"Perustuslaillinen Oikeistopuolue -- Konstitutionella hogerpartiet"	"con"	"Conservative"	7.4	6.4	6.9	7.8									67	1389	26.0
"FIN"	"Finland"	"Pi"	"Pirate Party Finland"	"Piraattipuolue"	"Piraattipuolue"	"spec"	"Special issue"													67	2412	16.0
"FIN"	"Finland"	"RKP-SFP"	"Swedish People's Party"	"Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland"	"Ruotsalainen Kansanpuolue -- Svenska Folkepartiet i Finland"	"lib"	"Liberal"	6.3906	6.7295	3.8385	8.5284	14901.0	96.0	1246901.0	606.0	1305.0	1406.0	5757.0	1406.0	67	585	6.0
"FIN"	"Finland"	"Rt"	"Reform Group"	"Remonttiryhmä"	"Remonttiryhma"	"spec"	"Special issue"	6.6	5.8	6.8	5.0								1412.0	67	638	16.0
"FIN"	"Finland"	"SEP"	"Finnish Pensioners Party"	"Suomen Eläkeläisten Puolue– Finlands Pensionärers Parti"	"Suomen Elakelaisten Puolue -- Finlands Pensionarers Parti"	"spec"	"Special issue"													67	1576	16.0
"FIN"	"Finland"	"SKP-Y"	"Communist  Party of Finland (Unity)"	"Suomen Kommunistinen Puolue  (Yhtenäisyys) – Finlands Kommunistiska Partiet (Enhet)"	"Suomen Kommunistinen Puolue (Yhtenaisyys) -- Finlands Kommunistiska Partiet (Enhet)"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3		91.0							67	806	14.0
"FIN"	"Finland"	"SKYP"	"Finnish People's Unity Party"	"Suomen kansan yhtenäisyyden puolueen – Finlands folks enhetsparti"	"Suomen kansan yhtenaisyyden puolueen -- Finlands folks enhetsparti"	"con"	"Conservative"	7.4	6.4	6.9	7.8									67	139	26.0
"FIN"	"Finland"	"SP-P"	"Finnish Party -- True Finns"	"Suomen Puolue – Perussuomalaiset"	"Suomen Puolue -- Perussuomalaiset"	"agr"	"Agrarian"	6.6331	4.8745	7.999	1.0945	14820.0	89.0	1246820.0	605.0	1307.0	1405.0	5717.0	1405.0	67	200	2.0
"FIN"	"Finland"	"SSDP"	"Social Democratic Party of Finland"	"Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti"	"Suomen Sosialidemokraattinen Puolue -- Finlands Socialdemokratiska Parti"	"soc"	"Social democracy"	3.5595	3.5454	4.2417	8.621	14320.0	94.0	1246320.0	602.0	1303.0	1401.0	5737.0	1401.0	67	395	11.0
"FIN"	"Finland"	"SV"	"Swedish Left"	"Ruotsalainen vasemmisto – Svensk vänster"	"Ruotsalainen vasemmisto -- Svensk vanster"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									67	1565	14.0
"FIN"	"Finland"	"TPSL"	"Social Democratic League of Workers and Smallholders"	"Tyäväen ja Pienviljelijäin Sosialdemokraattinen Liitto – Arbetarnas och Småbrukarnas Socialdemokratiska Förbund"	"Tyavaen ja Pienviljelijain Sosialdemokraattinen Liitto -- Arbetarnas och Smabrukarnas Socialdemokratiska Forbund"	"soc"	"Social democracy"	3.3	3.5	3.5	8.1	14310.0								67	1108	11.0
"FIN"	"Finland"	"VEU"	"Anti-EU Movement"	"Vaihtoehto EU:Lle"	"Vaihtoehto EU:Lle"	"spec"	"Special issue"													67	1649	16.0
"FIN"	"Finland"	"VIHR"	"Green League"	"Vihreä Liitto – Gröna Förbundet"	"Vihrea Liitto -- Grona Forbundet"	"eco"	"Green/Ecologist"	3.6465	3.4279	2.2671	6.9709	14110.0	98.0	1246110.0		1302.0	1408.0	5797.0	1408.0	67	1062	19.0
"FIN"	"Finland"	"VL"	"Liberal League"	"Vapaamielisten Liitto – De Frisinnades Förbund"	"Vapaamielisten Liitto -- De Frisinnades Forbund"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									67	1109	6.0
"FIN"	"Finland"	"VSL"	"League for Free Finland"	"Vapaan Suomen Liitto – Självständighetspartiet"	"Vapaan Suomen Liitto -- Sjalvstandighetspartiet"	"spec"	"Special issue"						85.0							67	979	16.0
"FIN"	"Finland"	"no-seat"	"no seat"	"no seat"	"no seat"	"none"	"no family"													67	2054	12.0
"FIN"	"Finland"	"none"	"no party affiliation"	"ei kukaan – ingen"	"ei kukaan -- ingen"	"none"	"no family"													67	1119	12.0
"FIN"	"Finland"	"one-seat"	"one seat"	"one seat"	"one seat"	"none"	"no family"													67	2413	12.0
"FRA"	"France"	"AC"	"Centrist Alliance"	"Alliance centriste"	"Alliance centriste"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									43	2078	6.0
"FRA"	"France"	"AO"	"Alliance of the Overseas"	"Alliances des outre-mers"	"Alliances des outre-mers"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2400	14.0
"FRA"	"France"	"ARS"	"Republican and Social Action"	"Action républicaine et sociale"	"Action republicaine et sociale"	"con"	"Conservative"	7.4	6.4	6.9	7.8									43	2358	26.0
"FRA"	"France"	"CD"	"Democratic Centre"	"Centre démocrat"	"Centre democrat"	"chr"	"Christian democracy"	5.7216	5.9852	5.4033	8.9659	31522.0				1408.0			613.0	43	1491	3.0
"FRA"	"France"	"CDP"	"Centre Democracy and Progress"	"Centre démocratie et progrés"	"Centre democratie et progres"	"chr"	"Christian democracy"	5.8695	5.9852	5.4033	9.0869	31523.0					607.0		613.0	43	885	3.0
"FRA"	"France"	"CDS"	"Centre of Social Democrats"	"Centre des Démocrates Sociaux"	"Centre des Democrates Sociaux"	"chr"	"Christian democracy"	6.2	5.7	7.2	8.3									43	2265	3.0
"FRA"	"France"	"CNIP"	"National Centre of Independents and Peasants [Conservatives]"	"Centre national des indépendants et paysans"	"Centre national des independants et paysans"	"con"	"Conservative"	7.5636	6.4495	7.2219	7.2286	31622.0			707.0		609.0		609.0	43	1414	26.0
"FRA"	"France"	"CPNT"	"Hunting, Fishing, Nature, Tradition"	"Chasse, pêche, nature, traditions"	"Chasse, peche, nature, traditions"	"agr"	"Agrarian"	7.8	7.25	7.875	2.2222		109.0						619.0	43	259	2.0
"FRA"	"France"	"DLR"	"Arise the Republic"	"Debout la république"	"Debout la republique"	"con"	"Conservative"	7.4	6.4	6.9	7.8									43	2399	26.0
"FRA"	"France"	"FN"	"National Front"	"Front national"	"Front national"	"right"	"Right-wing"	9.6854	7.4011	9.2889	0.2157	31720.0	113.0	1250720.0	708.0	1412.0	610.0	5817.0	610.0	43	270	40.0
"FRA"	"France"	"G"	"Gaullists"	"Gaulliste"	"Gaulliste"	"con"	"Conservative"	8.2	6.4	6.9	7.8	31621.0			706.0					43	1094	26.0
"FRA"	"France"	"GDR"	"Democratic and Republican Left"	"Gauche démocrate et républicaine"	"Gauche democrate et republicaine"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2272	14.0
"FRA"	"France"	"GE"	"Ecology Generation"	"Generation écologie"	"Generation ecologie"	"eco"	"Green/Ecologist"	3.6389	2.5	1.8	7.6167	31111.0			703.0	1405.0	611.0			43	650	19.0
"FRA"	"France"	"IOM"	"Overseas Independents"	"Indépendants d'outre-mer"	"Independants d'outre-mer"	"spec"	"Special issue"													43	2277	16.0
"FRA"	"France"	"IR|DL"	"Independent Republicans | Liberal Democracy"	"Independants républicains | Démocratie libérale"	"Independants republicains | Democratie liberale"	"con"	"Conservative"	7.0577	7.7993	6.1743	8.246					1410.0	606.0		615.0	43	59	26.0
"FRA"	"France"	"LCR"	"Revolutionary Communist League"	"Ligue communiste révolutionnaire"	"Ligue communiste revolutionnaire"	"com"	"Communist/Socialist"	0.0714	0.2143	6.0	0.4762					1401.0			614.0	43	442	14.0
"FRA"	"France"	"LO"	"Workers' Struggle"	"Lutte ouvrière"	"Lutte ouvriere"	"com"	"Communist/Socialist"	0.0	1.4	3.0	3.3		101.0			1402.0				43	1176	14.0
"FRA"	"France"	"MDC"	"Citizens' Movement"	"Mouvement des citoyens"	"Mouvement des citoyens"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2143	14.0
"FRA"	"France"	"MF"	"Movement for France"	"Mouvement pour la France"	"Mouvement pour la France"	"con"	"Conservative"	8.1721	7.5376	8.6774	1.0651		111.0				612.0	5831.0	612.0	43	1101	26.0
"FRA"	"France"	"MIM"	"Martinican Independence Movement"	"Mouvement independantiste martiniquais"	"Mouvement independantiste martiniquais"	"spec"	"Special issue"													43	2077	16.0
"FRA"	"France"	"MNR"	"National Republican Movement"	"Mouvement national républicain"	"Mouvement national republicain"	"right"	"Right-wing"	8.2786	8.5714	9.7143	0.5556		114.0						620.0	43	1263	40.0
"FRA"	"France"	"MP"	"Party of Presidential Majority"	"Parti de la Majorité présidentielle"	"Parti de la Majorite presidentielle"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2260	14.0
"FRA"	"France"	"MR"	"Reformers Movement"	"Mouvement réformateur"	"Mouvement reformateur"	"chr"	"Christian democracy"	5.8695	5.9852	5.4033	8.9659	31529.0							613.0	43	213	3.0
"FRA"	"France"	"MRP"	"Popular Republican Movement"	"Mouvement républicain populaire"	"Mouvement republicain populaire"	"chr"	"Christian democracy"	8.2	5.7	7.2	8.3	31521.0			706.0					43	1086	3.0
"FRA"	"France"	"MoDem"	"Democratic Movement"	"Mouvement démocrate"	"Mouvement democrate"	"lib"	"Liberal"	6.0	6.7	3.5	8.8		107.0	1250336.0						43	937	6.0
"FRA"	"France"	"NC"	"New Centre"	"Nouveau centre"	"Nouveau centre"	"lib"	"Liberal"	6.0	6.7	3.5	8.8									43	1058	6.0
"FRA"	"France"	"PCF"	"French Communist Party"	"Parti communiste française"	"Parti communiste francais"	"com"	"Communist/Socialist"	1.3741	1.056	4.5083	2.3595	31220.0	102.0	1250220.0	701.0	1403.0	601.0	5845.0	601.0	43	686	14.0
"FRA"	"France"	"PFN"	"Party of New Forces"	"Parti des forces nouvelles"	"Parti des forces nouvelles"	"right"	"Right-wing"	9.8	5.9	8.6	2.4				709.0					43	670	40.0
"FRA"	"France"	"PR"	"Radical Party"	"Parti radical "	"Parti radical "	"con"	"Conservative"	3.9896	4.1676	4.2381	7.9361	31421.0			704.0		603.0		603.0	43	401	26.0
"FRA"	"France"	"PRG"	"Radical Party of the Left"	"Parti radical de gauche"	"Parti radical de gauche"	"soc"	"Social democracy"	4.0813	4.1676	4.2381	7.9361		106.0	1250337.0		1407.0	603.0		603.0	43	1492	11.0
"FRA"	"France"	"PRL"	"Conservatives"	"Parti républicain de la liberté"	"Parti republicain de la liberte"	"con"	"Conservative"	7.5636	6.4495	7.2219	7.2286	31622.0			707.0		609.0		609.0	43	1297	26.0
"FRA"	"France"	"PS"	"Socialist Party"	"Parti socialiste"	"Parti socialiste"	"soc"	"Social democracy"	3.2493	3.248	2.9367	7.9448	31320.0	104.0	1250320.0	702.0	1404.0	602.0	5859.0	602.0	43	1539	11.0
"FRA"	"France"	"PSU"	"Unified Socialist Party"	"Parti socialiste unifie"	"Parti socialiste unifie"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3						604.0			43	516	14.0
"FRA"	"France"	"RCV"	"Radical-Socialist Party -- Citizens' Movement -- Greens"	"Parti radical-socialiste – Mouvement des citoyens – Les verts"	"Parti radical-socialiste -- Mouvement des citoyens -- Les verts"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2271	14.0
"FRA"	"France"	"RDA"	"African Democratic Rally"	"Rassemblement démocratique Africain"	"Rassemblement democratique Africain"	"com"	"Communist/Socialist"	1.3	1.4	3.0	3.3									43	2276	14.0
"FRA"	"France"	"RGR"	"Rally of Republican Lefts"	"Rassemblement des gauches républicaines"	"Rassemblement des gauches republicaines"	"con"	"Conservative"	7.4	6.4	6.9	7.8									43	890	26.0
